一般,いっぱん
弟,おと
湿気,しっき
実感,じっかん
特許,とっきょ
心中,しんじゅう
其れ故,それゆえ
実費,じっぴ
古,いにしえ
滑稽,こっけい
屹度,きっと
所々,ところどころ
八百屋,やおや
年中,ねんじゅう
高等学校,こうとうがっこう
日向,ひなた
物体,ぶったい
悪化,あっか
書留,かきとめ
月謝,げっしゃ
脱出,だっしゅつ
お巡りさん,おまわりさん
錆びる,さびる
自惚れ,うぬぼれ
発作,ほっさ
迷子,まいご
如何して,どうして
欠点,けってん
天地,あめつち
国境,こっきょう
真面目,まじめ
お腹,おなか
然して,そして
窒息,ちっそく
熱する,ねっする
結晶,けっしょう
苛々,いらいら
其の儘,そのまま
立派,りっぱ
流行る,はやる
薬缶,やかん
田舎,いなか
脱退,だったい
楽観,らっかん
唯,たった
白髪,しらが
出発,しゅっぱつ
物質,ぶっしつ
決心,けっしん
扇ぐ,あおぐ
必修,ひっしゅう
明後日,あさって
組合せ,くみあわせ
生真面目,きまじめ
真似る,まねる
乾,ほし
鉄砲,てっぽう
接触,せっしょく
突く,つつく
外方,そっぽ
日光,にっこう
焚火,たきび
途中,つちゅう
呑気,のんき
出世,しゅっせ
十,じゅう  とお
復興,ふっこう
客観,きゃっかん
例,ためし
余程,よっぽど
必死,ひっし
画期,かっき
疎か,おろそか
小父さん,おじさん
欠席,けっせき
有難う,ありがとう
詰る,なじる
斑,ぶち
誰,だれか
其れ程,それほど
蕎麦,そば
失格,しっかく
お襁褓,おむつ
作曲,さっきょく
一瞬,いっしゅん
御手洗,おてあらい
粉々,こなごな
一生懸命,いっしょうけんめい
戸締り,とじまり
息子,むすこ
其れに,それに
種々,くさぐさ
勉強,べんきょうする
鉄橋,てっきょう
発車,はっしゃ
二日,ふつか
実施,じっし
折衷,せっちゅう
不山戯る,ふざける
可愛がる,かわいがる
紅葉,もみじ
東,あずま
暖かい,あたたか(い)
立法,りっぽう
一昨昨日,さきおととい
お兄さん,おにいさん
見る  観る,みる
発揮,はっき
如何にも,いかにも
設定,せってい
下る,さがる
大人,おとな
所謂,いわゆる
一層,いっそう
熱心,ねっしん
其れでは,それでは
煌々と,こうこうと
何時までも,いつまでも
執筆,しっぴつ
吹雪,ふぶき
発表,はっぴょう
果物,くだもの
空ろ,うつろ
玩具,おもちゃ
面皰,にきび
出血,しゅっけつ
設計,せっけい
鉄棒,かなぼう
彼の,あの
日記,にっき
美味しい,おいしい
薬局,やっきょく
お早う,おはよう
結成,けっせい
吃逆,しゃっくり
身体,からだ
計,かたち
二十日,はつか
近々,ちかぢか
決算,けっさん
実績,じっせき
石鹸,せっけん
物資,ぶっし
確り,しっかり
屈折,くっせつ
楽む,たのしむ
予言,かねごと
況して,まして
陽射,ひざし
小売,こうり
副,とりわけ
骨董品,こっとうひん
若干,じゃっかん
商人,あきうど
玄人,くろうと
欠陥,けっかん
滅茶苦茶,めちゃくちゃ
書取,かきとり
辛うじて,かろうじて
傑作,けっさく
百科辞典,ひゃっかじてん
何卒,なにとぞ
日本,にほん
何時でも,いつでも
坊っちゃん,ぼっちゃん
上る,あがる
土産,みやげ
時計,とけい
此れ等,これら
一挙に,いっきょに
匹敵,ひってき
結婚,けっこん
切符,きっぷ
其れでも,それでも
所為,せい
日当,にっとう
決して,けっして
落す,おとす
格好,かっこう
各々,おのおの
骨折,こっせつ
別荘,べっそう
一旦,いったん
館,たち
可愛らしい,かわいらしい
一致,いっち
融通,ゆうずう
活気,かっき
相応しい,ふさわしい
其方,そちら
伯父,おじさん
立体,りったい
広々,ひろびろ
一定,いってい
脱線,だっせん
一寸,ちょっと
叔父,おじさん
一種,いっしゅ
姉妹,きょうだい
七日,なぬか
小学校,しょうがっこう
達成,たっせい
二十（歳）,はたち
華々しい,はなばなしい
揶揄う,からかう
塵芥,ごみ
部屋,へや
列車,れっしゃ
其れで,それで
お祖母さん,おばあさん
真っ青,まっさお
